item_name,unit_price,company,product_category
APPLE,9,ANANTHA,Mirror
MINI SAMRAT,15,ANANTHA,Mirror
FIVE STAR,15,ANANTHA,Mirror
SURYA,17,ANANTHA,Mirror
NAYANTHARA,25,ANANTHA,Mirror
MINI ROUND,25,ANANTHA,Mirror
AYAN,25,ANANTHA,Mirror
PULI,30,ANANTHA,Mirror
SAMRAT / VALIMAI,30,ANANTHA,Mirror
SINGAM / RED,30,ANANTHA,Mirror
THEIR,35,ANANTHA,Mirror
PIZZA,35,ANANTHA,Mirror
CITIZEN / RUN,40,ANANTHA,Mirror
KUMKI,40,ANANTHA,Mirror
STYLE SMALL,40,ANANTHA,Mirror
STYLE MEDIUM,55,ANANTHA,Mirror
STYLE BIG,70,ANANTHA,Mirror
BAHUBALI,100,ANANTHA,Mirror
MEENA,65,ANANTHA,Mirror
TITANIC,75,ANANTHA,Mirror
MOTHER INDIA,145,ANANTHA,Mirror
OSCAR,295,ANANTHA,Mirror
P.S - 1,160,ANANTHA,Mirror
MARIA,95,ANANTHA,Mirror
KRISH,65,ANANTHA,Mirror
MARTINA,80,ANANTHA,Mirror
POOJA  RP,5,ANANTHA,Plate
POOJA  1st,6,ANANTHA,Plate
ABI  RP,6,ANANTHA,Plate
ABI  1st,7,ANANTHA,Plate
ARTHI  RP,15,ANANTHA,Plate
ARTHI  1st,22,ANANTHA,Plate
ANANTHI  RP,10,ANANTHA,Plate
NESHA  RP,8,ANANTHA,Plate
DEEPIKA  RP,8,ANANTHA,Plate
MIRAJ  RP,10,ANANTHA,Plate
PUSPA  RP,12,ANANTHA,Plate
SAMANTHA  RP,16,ANANTHA,Plate
SNEHA  RP,18,ANANTHA,Plate
